,countList,incomeList,percentageList
0,73031.69,0,0.32
1,43881.98,0,0.51
2,77090.05,0,0.85
3,73153.37,0,1.17
4,30744.77,0,1.31
5,106866.26,0,1.78
6,167500.97,0,2.51
7,65299.86,0,2.8
8,116392.24,0,3.31
9,96995.51,0,3.73
10,92950.2,0,4.14
11,65152.17,0,4.43
12,58045.87,0,4.68
13,139164.86,0,5.29
14,32353.12,0,5.43
15,87893.22,9702.31,5.82
16,82342.82,34985.48,6.18
17,83984.77,49446.64,6.55
18,75194.52,63836.18,6.88
19,112825.22,79028.17,7.37
20,53474.45,92292.55,7.61
21,78196.69,99999.99,7.95
22,66112.91,100000,8.24
23,76727.24,109470.79,8.58
24,107058.48,120602.4,9.05
25,82772.96,140209.14,9.41
26,88237.12,149999.99,9.8
27,86265.51,150000,10.18
28,76504.47,159214.15,10.51
29,85130.19,178412.41,10.89
30,42427.63,199689.15,11.07
31,99893.29,199999.99,11.81
32,68925.85,200000,11.37
33,123025.74,200000,12.35
34,73321.85,200000,12.67
35,57229.54,200000.01,12.93
36,66757.58,203400.34,13.22
37,89658.1,233626.02,13.61
38,62347.19,244486.45,13.89
39,89156.1,250000,14.28
40,73844.44,259961.6,14.6
41,76407.06,284947.44,14.94
42,67629.69,299999.99,15.47
43,109911.37,299999.99,16.93
44,102968.11,300000,15.92
45,120569.21,300000,16.45
46,76632.69,300000,17.52
47,53860.43,300000.01,15.17
48,57931.19,300000.01,17.78
49,57774.17,300000.02,17.18
50,102663.6,316526.76,18.23
51,78851.84,344366,18.57
52,105907,349999.99,19.04
53,96656.27,355682.24,19.46
54,96604.26,366288.07,19.88
55,53691,396052.85,20.12
56,83341.43,399999.99,22.2
57,63748.85,400000,20.4
58,78414.26,400000,20.98
59,105494.06,400000,21.44
60,90062.94,400000,21.83
61,49348.96,400000,22.42
62,77684.13,400000,22.76
63,52926.28,400000.01,20.63
64,47529.13,408901.55,22.96
65,79408.63,435493.62,23.31
66,72498.53,450000.03,23.63
67,72933.83,451047.02,23.95
68,94079.82,475882.8,24.36
69,82181.92,486104.96,24.72
70,44844.34,499999.95,26.37
71,75711.35,499999.97,25.64
72,82620.82,500000,25.31
73,122218.15,500000,26.18
74,76258.2,500000.01,26.71
75,71669.71,500000.01,27.46
76,50704.17,500000.02,24.95
77,100280.25,500000.02,27.15
78,56153.9,500000.02,27.71
79,42645.71,503769.53,27.9
80,86106.45,530573,28.27
81,76560.61,554184.11,28.61
82,81197.83,580382.99,28.97
83,32746.13,599999.94,32.8
84,42530.02,599999.95,29.15
85,66780.88,599999.96,29.66
86,29794.73,599999.98,30.89
87,114237.03,599999.98,31.39
88,120564.43,599999.99,30.75
89,95831.52,600000,30.23
90,59041.34,600000,31.65
91,56227.45,600000.01,32.21
92,49232.34,600000.02,29.37
93,32545.04,600000.03,29.81
94,72321.71,600000.03,31.96
95,102083.04,600000.03,32.66
96,84543.96,633691.25,33.17
97,86161.73,649999.97,33.55
98,58956.64,676138.65,33.81
99,43248.15,699999.98,34.19
100,123476.42,699999.99,34.73
101,56243.42,700000,34.98
102,72095.02,700000,35.3
103,69833.53,700000,35.6
104,43794.6,700000.02,34
105,44674.14,707568.06,35.8
106,91911.23,727092.58,36.2
107,63658.48,749999.98,36.48
108,77599.92,766902.84,36.82
109,30793.26,799999.87,40.49
110,46883.92,799999.94,37.29
111,111305.5,799999.98,38.27
112,67801.58,799999.99,39.61
113,59344.42,800000,37.08
114,48992.38,800000,39.82
115,101887.99,800000.03,38.72
116,122022.54,800000.03,40.36
117,58217.15,800000.04,37.54
118,72491.56,800000.04,39.04
119,62274.14,800000.04,39.31
120,54808.51,800000.06,37.78
121,73120.24,830980.58,40.81
122,62477.5,850333.71,41.09
123,66896.34,884999.39,41.38
124,70742.39,899999.97,42.64
125,76161.38,899999.97,42.97
126,39146.32,899999.99,41.55
127,76186.13,899999.99,42.08
128,57646.33,900000.07,42.33
129,43534.01,900000.08,41.74
130,61799.56,907759.93,43.25
131,66821.58,946852.74,43.54
132,76993.76,960158,43.88
133,58554.37,994137,44.13
134,65648.83,999999.94,46.64
135,80643.62,999999.96,47.34
136,27991.46,999999.97,47.85
137,70849.08,999999.97,48.16
138,91162.27,999999.98,45.59
139,105677.72,999999.98,46.06
140,121043.7,999999.99,48.69
141,47302.3,1000000.01,44.64
142,48906.06,1000000.01,44.85
143,67878.83,1000000.02,46.35
144,87589.84,1000000.03,47.73
145,67151.87,1000000.04,44.43
146,78002.1,1000000.04,45.19
147,78764.99,1000000.04,46.99
148,24144.28,1000000.18,48.8
149,52555.68,1016966.36,49.03
150,77305.36,1063920.24,49.37
151,62545.17,1099999.94,50.41
152,109670.32,1100000.02,50.14
153,66281.52,1100000.03,49.66
154,88915.11,1123538.26,50.8
155,100327.11,1157608.02,51.24
156,21749.67,1159999.83,56.05
157,24760.91,1159999.92,51.35
158,73821,1159999.93,53.9
159,28475.85,1159999.93,54.03
160,84244.8,1159999.93,57.82
161,94087.17,1159999.94,52.65
162,57940.59,1159999.94,54.28
163,85125.26,1159999.94,56.55
164,66566.83,1159999.94,61.31
165,94563.31,1159999.95,59.05
166,66929.97,1159999.97,59.65
167,133694.74,1159999.98,58.4
168,120882.66,1159999.99,52.04
169,203687.7,1159999.99,57.45
170,133080.78,1159999.99,60.81
171,28374.77,1160000.01,53.03
172,57627.02,1160000.02,52.9
173,125431.85,1160000.02,53.58
174,154542.23,1160000.02,55.87
175,29367.25,1160000.02,56.18
176,111131.17,1160000.02,60.23
177,100911.19,1160000.03,55.2
178,107193.28,1160000.04,54.75
179,24323.39,1160000.04,59.35
180,22779.86,1160000.05,52.14
181,22803.84,1160000.08,60.91
182,20831.91,1160000.09,59.74
183,35923.91,1160000.11,51.51
184,52749.99,1160000.11,58.63
185,45214.15,1160000.12,59.25
186,25278.98,1160000.13,61.02
187,22792.5,1160000.2,52.24
188,18634.01,1160000.26,55.95
189,49819.68,1185684.56,61.53
190,39873.49,1199999.94,61.97
191,70140.09,1199999.97,64.27
192,52572.79,1199999.97,64.86
193,139603.67,1199999.98,63.41
194,81538.77,1200000,62.49
195,81195.25,1200000.01,64.63
196,99185.5,1200000.01,65.59
197,64696.95,1200000.01,65.87
198,66702.03,1200000.02,65.15
199,106732.45,1200000.04,63.97
200,68861.16,1200000.05,62.79
201,60484.91,1200000.07,61.8
202,36672.8,1200000.13,62.13
203,21248.08,1200000.27,63.5
204,43764.27,1202239.28,66.06
205,101101.14,1238291.67,66.51
206,84978.74,1275378.7,66.88
207,39493.08,1299999.88,70.21
208,71997.5,1299999.93,70.79
209,96750.73,1299999.94,68.56
210,80936.06,1299999.97,67.96
